Article;Absolutes;Achievement;Avg_sent_length;Confidence;Empathy;Endophoric;Evidence;First_Person;FRE;Hedges;Intext_citations;Negate;Negative_emotions;Num_Authors;Pvalues;Page_length;Polarity;Ref_Diversity;Reward;Sample;Sensory;Subjectivity;Third_Person;Time_Delta;Volume;Word_count;Special;citationNumCrossRef;CitationNumGoogle;Rank
art_235;0.01;0.15;28.5;0;0;0.01;0.01;0.02;34.09;0.02;48;0.01;0.01;4;3;17;0.127;0.43;0.02;145;0;0.439;0.03;47;26;12604;0;4;6;5
art_236;0.01;0.11;36.2;0;0.01;0.01;0.01;0.01;26.27;0.02;23;0;0.01;2;4;7;0.135;0.44;0.11;149;0;0.483;0.03;44;26;4014;0;11;18;8
art_237;0;0.09;30.7;1;0;0;0;0.01;31.85;0.02;33;0.01;0.02;3;0;6;0.151;0.61;0.07;144;0;0.47;0.03;53;26;4427;0;4;7;8
art_238;0.03;0.31;27.1;1;0.01;0;0;0;27.05;0.02;45;0.01;0.07;1;3;6;0.138;0.77;0.23;207;0;0.53;0.04;53;26;4234;0;6;9;9
art_239;0.01;0.09;37.1;1;0.01;0;0;0.01;25.36;0.02;32;0.01;0.01;2;2;7;0.028;0.53;0.09;708;0;0.608;0.05;44;26;4717;0;3;7;9
art_240;0.02;0.05;36.5;1;0;0.01;0.01;0.02;17.51;0.01;44;0.01;0.01;4;4;8;0.077;0.45;0.11;2593;0;0.375;0.04;44;26;6425;0;30;57;2
art_241;0.01;0.05;39.8;0;0;0.02;0.02;0.02;14.16;0.02;56;0.01;0.01;2;4;12;0.104;0.55;0.08;212;0;0.417;0.04;53;26;9760;0;2;9;5
art_243;0.01;0.15;33.8;0;0.01;0;0;0;20.25;0.02;91;0.01;0.02;1;3;14;0.148;0.41;0.08;94;0;0.479;0.04;53;26;10018;0;18;26;6
art_244;0.01;0.1;38;0;0;0.01;0.01;0.01;15.99;0.02;66;0.01;0.14;2;4;13;0.102;0.46;0.05;60;0;0.433;0.05;50;26;10154;0;6;13;1
art_245;0.01;0.05;48.2;0;0;0.01;0.01;0.01;5.63;0.01;112;0;0.04;3;2;19;0.077;0.35;0.02;426;0;0.439;0.03;50;26;13207;0;17;33;2
art_246;0.01;0.11;35.2;1;0;0.01;0.01;0.01;10.37;0.02;36;0.01;0.07;2;3;6;0.084;0.63;0.06;203;0;0.408;0.04;44;26;4044;0;5;16;7
art_247;0.02;0.31;37.6;0;0;0.02;0.01;0.02;16.39;0.02;52;0.01;0.07;3;4;11;0.064;0.63;0.15;343;0;0.493;0.04;50;26;7931;0;3;11;4
art_248;0.01;0.53;34.6;1;0.01;0.01;0.01;0.02;27.9;0.01;77;0.01;0.03;2;0;14;0.134;0.49;0.2;77;0.01;0.417;0.04;47;26;11806;0;5;10;7
art_249;0.02;0.05;30.5;0;0;0.02;0.02;0.02;32.06;0.02;37;0.01;0.01;2;3;6;0.07;0.5;0.08;153;0.02;0.464;0.04;47;26;4178;0;9;18;8
art_250;0.01;0.17;39.9;0;0;0.01;0.01;0.01;-2.87;0.02;19;0;0.02;2;0;10;0.099;0.76;0.07;670;0;0.43;0.03;44;26;6899;0;6;9;6
art_251;0.02;0.12;33.6;1;0;0;0;0;28.91;0.02;63;0.01;0.01;1;3;15;0.088;0.49;0.1;82;0;0.435;0.05;53;26;12974;0;2;6;1
art_252;0.01;0.1;36.4;1;0;0.01;0.01;0.01;17.61;0.01;74;0;0.01;2;2;12;0.117;0.37;0.19;55;0;0.439;0.08;44;26;9108;0;8;11;1
art_253;0.01;0.07;34.9;1;0;0.01;0.01;0.01;10.67;0.02;65;0.01;0.01;3;4;13;0.116;0.45;0.08;81;0;0.463;0.03;44;26;9624;0;11;16;4
art_254;0.01;0.06;36.9;1;0;0.01;0.01;0.01;0.18;0.02;46;0.01;0.03;2;3;9;0.054;0.5;0.04;161;0;0.493;0.02;50;26;5421;0;13;20;6
art_255;0.01;0.05;29.9;0;0;0.01;0.01;0.01;24.21;0.01;36;0;0.01;2;2;7;0.097;0.56;0.02;98;0.02;0.349;0.04;44;26;4369;0;17;29;10
art_256;0.01;0.12;29.5;0;0;0.01;0;0.01;24.61;0.02;77;0.01;0.02;2;0;11;0.083;0.74;0.06;101;0;0.428;0.04;47;26;9242;0;5;7;2
art_257;0.01;0.47;38.4;0;0;0.01;0.01;0.01;24.04;0.02;52;0.01;0.02;3;4;11;0.091;0.42;0.2;59;0.01;0.456;0.05;53;26;8607;0;9;11;2
art_258;0.03;0.08;33.5;0;0;0.01;0;0.01;20.55;0.03;79;0.03;0.06;3;3;13;0.064;0.41;0.14;158;0.02;0.43;0.04;47;26;10224;0;14;22;6
art_259;0.01;0.07;29.9;1;0.01;0.02;0.01;0.02;24.21;0.01;62;0.01;0.02;3;4;12;0.067;0.6;0.04;228;0.03;0.462;0.04;47;26;8780;0;8;17;4
art_260;0.01;0.07;26.8;0;0.01;0.02;0.01;0.02;27.35;0.02;37;0.01;0.02;2;2;9;0.061;0.52;0.04;120;0;0.424;0.05;53;26;6808;0;6;15;7
art_261;0.01;0.11;37.6;1;0;0.01;0.01;0.01;16.39;0.03;42;0.02;0.05;3;2;12;0.04;0.54;0.07;147;0.01;0.466;0.07;47;26;9468;0;16;39;3
art_262;0.01;0.08;33;0;0;0.01;0.01;0.01;21.06;0.01;120;0.01;0.1;4;4;17;0.14;0.48;0.05;107;0;0.463;0.06;50;26;12162;0;19;38;3
art_263;0.02;0.09;32.8;0;0;0.01;0;0.01;4.34;0.01;38;0.01;0.02;4;2;6;0.028;0.51;0.1;81;0;0.385;0.04;41;27;4133;0;5;12;6
art_264;0.01;0.06;34.8;0;0;0.01;0.01;0.01;27.69;0.01;130;0.01;0.01;2;2;14;0.091;0.57;0.02;95;0;0.415;0.04;35;27;11366;0;2;1;3
art_265;0.01;0.61;41.7;0;0.01;0.01;0.01;0.01;20.69;0.02;80;0.01;0.02;2;4;15;0.052;0.42;0.35;280;0;0.423;0.04;35;27;10142;0;5;14;2
art_266;0.01;0.1;28.7;0;0;0.02;0.02;0.02;25.42;0.01;28;0.03;0.04;3;0;6;-0.003;0.57;0.03;141;0;0.359;0.04;32;27;4070;0;1;3;4
art_267;0.01;0.12;28.8;1;0;0.01;0.01;0.02;16.86;0.02;67;0.01;0.02;3;4;11;0.072;0.38;0.09;118;0;0.32;0.05;41;27;8324;0;32;57;3
art_268;0;0.05;31.5;0;0;0.02;0.01;0.02;39.5;0.04;51;0.01;0.02;3;2;10;0.097;0.5;0.03;81;0.01;0.448;0.06;38;27;8470;0;2;8;5
art_269;0.01;0.09;37.2;0;0;0.02;0.01;0.01;8.34;0.02;40;0.01;0.03;3;0;9;0.136;0.77;0.1;154;0;0.479;0.04;32;27;4874;0;7;7;3
art_270;0.01;0.12;32.4;1;0;0.01;0;0.01;13.21;0.02;109;0.01;0.01;3;3;13;0.103;0.32;0.11;185;0;0.416;0.03;38;27;10042;0;1;3;7
art_271;0.01;0.09;36.1;0;0;0.01;0.01;0.02;26.37;0.01;40;0.01;0.03;3;2;7;0.099;0.66;0.15;264;0;0.449;0.04;35;27;4509;0;9;24;6
art_272;0.01;0.08;34.3;1;0;0.01;0.01;0.01;11.28;0.01;71;0.01;0.02;3;2;11;0.082;0.5;0.03;93;0;0.418;0.03;41;27;8271;0;15;25;2
art_273;0.01;0.05;31.8;0;0.01;0.01;0.01;0.02;30.74;0.02;25;0.01;0.01;3;4;5;0.084;0.54;0.02;102;0;0.416;0.04;35;27;3883;0;2;4;5
art_274;0.01;0.12;32.8;0;0.01;0.01;0.01;0.01;29.72;0.02;109;0.01;0.02;3;2;11;0.041;0.48;0.05;220;0;0.434;0.06;38;27;8588;0;4;6;4
art_275;0.01;0.13;38.4;1;0;0.01;0.01;0.02;15.58;0.02;35;0.01;0.05;3;2;5;0.039;0.58;0.06;153;0;0.375;0.03;38;27;3957;0;0;1;8
art_276;0.01;0.07;36.8;0;0;0.01;0.01;0.01;8.74;0.01;79;0.01;0.01;4;2;12;0.101;0.56;0.03;108;0;0.386;0.04;32;27;8939;0;7;10;2
art_277;0.01;0.38;32;0;0;0.01;0.01;0.01;22.08;0.01;41;0.01;0.01;2;2;9;0.106;0.33;0.36;345;0;0.463;0.05;41;27;7866;0;19;49;5
art_278;0.01;0.06;36;0;0;0;0;0.02;9.56;0.01;45;0.01;0.08;3;4;8;0.055;0.54;0.02;177;0;0.354;0.05;41;27;4288;0;12;15;7
art_279;0.01;0.06;30.9;0;0;0.01;0.01;0.01;14.73;0.02;73;0.01;0.02;2;4;12;0.064;0.44;0.06;101;0.01;0.346;0.02;32;27;8004;0;26;46;1
art_280;0;0.18;37.1;0;0;0.01;0.01;0.01;16.9;0.02;59;0;0.01;2;3;7;0.127;0.49;0.16;80;0;0.309;0.04;38;27;4191;0;5;8;9
art_281;0.02;0.06;33.7;1;0;0.02;0.01;0.01;11.89;0.02;75;0.01;0.05;4;1;12;0.076;0.49;0.12;125;0;0.457;0.03;38;27;8593;0;9;17;6
art_282;0.01;0.05;34.3;1;0;0.03;0.02;0.01;28.2;0.02;58;0.01;0.04;3;4;7;0.112;0.56;0.04;343;0.01;0.486;0.04;35;27;4184;0;2;4;4
art_283;0.01;0.1;30.8;0;0;0.02;0.02;0.01;23.29;0.02;76;0.01;0.1;3;2;10;0.04;0.55;0.07;165;0.02;0.461;0.05;38;27;7238;0;6;17;2
art_284;0.01;0.05;32;1;0;0.01;0.01;0.02;30.54;0.02;63;0.01;0.04;4;0;12;0.045;0.62;0.03;229;0;0.357;0.04;38;27;9304;0;12;15;3
art_285;0.01;0.04;30.2;0;0;0.01;0;0.01;15.44;0.01;34;0.01;0;3;2;8;0.08;0.39;0.03;204;0;0.442;0.05;38;27;5437;0;9;15;10
art_286;0.02;0.06;32.8;0;0;0.01;0.01;0.02;21.26;0.02;68;0.03;0.01;3;2;12;-0.024;0.51;0.17;77;0;0.562;0.04;38;27;9711;0;9;13;1
art_287;0.01;0.06;33.7;0;0;0.02;0.02;0.01;20.35;0.02;46;0.01;0.01;2;3;9;0.054;0.56;0.02;196;0;0.353;0.04;41;27;5871;0;3;5;4
art_289;0.01;0.07;31.3;0;0;0.02;0.02;0.02;31.25;0.01;41;0.01;0.01;2;3;9;0.067;0.56;0.04;176;0;0.428;0.04;41;27;7428;0;25;43;1
art_290;0.02;0.07;30;0;0;0.02;0.01;0.02;24.11;0.01;94;0.01;0.05;3;3;14;0.064;0.59;0.02;162;0;0.402;0.04;35;27;8221;0;7;20;1
art_291;0.01;0.06;31.7;1;0;0.01;0.01;0.01;30.84;0.01;56;0.01;0.06;4;3;14;0.07;0.5;0.03;130;0;0.4;0.06;26;28;8349;1;3;10;7
art_292;0.01;0.06;28.3;0;0;0;0;0.01;42.75;0.02;30;0.01;0.01;3;2;11;0.108;0.81;0.1;120;0;0.433;0.05;26;28;6357;1;4;19;1
art_293;0.01;0.07;30.8;0;0;0.03;0;0.01;23.29;0.01;80;0.01;0.01;2;3;21;0.115;0.54;0.12;147;0;0.413;0.04;29;28;8104;0;12;22;4
art_294;0.01;0.07;32.2;0;0;0.01;0.01;0.01;21.87;0.03;67;0.02;0.07;2;2;15;0.075;0.84;0.04;145;0.01;0.365;0.04;29;28;8597;0;5;10;2
art_295;0.01;0.11;30.4;1;0;0.01;0;0.02;23.7;0.01;58;0.01;0.01;2;2;14;0.081;0.66;0.1;270;0;0.446;0.04;29;28;8800;0;3;4;5
art_296;0;0.15;44.5;1;0.01;0.01;0.01;0.02;17.85;0.01;74;0.01;0.01;5;4;20;0.145;0.58;0.05;1750;0;0.444;0.03;20;28;9929;0;6;10;7
art_297;0.02;0.12;29.7;0;0.01;0.01;0.01;0.01;32.87;0.01;64;0.01;0.01;2;2;18;0.125;0.6;0.14;154;0.01;0.434;0.05;20;28;11174;0;1;3;3
art_298;0.01;0.06;28.3;1;0;0.02;0.03;0.02;25.83;0.01;30;0;0.06;3;2;7;0.114;0.69;0.09;116;0;0.398;0.04;23;28;4069;0;1;1;5
art_299;0.01;0.23;38.5;1;0.01;0.01;0;0.02;23.94;0.01;66;0.01;0.04;3;2;16;0.148;0.53;0.14;590;0;0.435;0.05;26;28;10061;1;3;5;5
art_300;0.01;0.06;39.3;1;0;0.01;0.01;0.02;23.13;0.01;97;0;0.02;3;4;18;0.07;0.45;0.03;160;0;0.425;0.04;23;28;10342;0;25;31;1
art_301;0.02;0.06;34.8;0;0;0.01;0.01;0.02;27.69;0.03;86;0.02;0.02;2;4;14;0.041;0.43;0.14;198;0.02;0.422;0.04;20;28;8808;0;1;1;6
art_302;0.01;0.11;31.4;1;0;0.02;0.01;0.02;31.14;0.02;118;0.01;0.02;5;4;20;0.073;0.48;0.04;244;0;0.417;0.04;26;28;11529;1;5;6;4
art_303;0.01;0.12;28.4;0;0;0.01;0.01;0.02;25.73;0.02;71;0.01;0.08;2;3;14;0.063;0.62;0.06;167;0.01;0.437;0.04;20;28;7846;0;1;1;4
art_304;0.01;0.06;43.8;0;0;0.02;0.01;0.01;27.02;0.02;25;0.01;0;2;3;7;0.068;0.51;0.02;202;0;0.397;0.04;20;28;3902;0;2;2;8
art_305;0.01;0.11;35.1;1;0;0.01;0.01;0.02;18.93;0.03;52;0.02;0.02;3;3;18;0.074;0.89;0.11;189;0;0.444;0.05;26;28;10954;1;7;12;6
art_306;0.01;0.17;33.4;1;0;0.01;0;0.02;20.65;0.01;82;0.01;0.07;1;3;15;0.043;0.46;0.04;216;0;0.34;0.04;23;28;8580;0;2;3;4
art_307;0.01;0.13;40.7;0;0;0.01;0.01;0.01;21.7;0.01;99;0.01;0.01;3;4;24;0.096;0.47;0.09;479;0;0.455;0.03;23;28;14330;0;2;8;2
art_308;0.01;0.32;37;1;0;0.01;0.01;0.01;25.46;0.02;70;0.01;0.04;2;2;16;0.104;0.57;0.09;108;0.02;0.446;0.05;29;28;9620;0;2;7;1
art_309;0.01;0.11;34.9;1;0;0.01;0.01;0.02;27.59;0.01;28;0.01;0.02;4;3;8;0.073;0.92;0.04;476;0;0.411;0.03;26;28;3909;1;6;9;8
art_310;0.03;0.11;34.6;1;0;0.01;0.01;0.02;27.9;0.01;45;0.02;0.04;4;3;12;0.046;0.57;0.04;211;0;0.405;0.04;23;28;7170;0;5;8;3
art_311;0.02;0.2;32.9;1;0;0.03;0.02;0.01;21.16;0.02;108;0.01;0.03;2;0;18;0.06;0.53;0.1;126;0;0.394;0.04;26;28;11639;1;4;11;3
art_312;0.01;0.06;33;0;0;0.01;0.01;0.01;37.98;0.02;36;0.01;0;4;2;7;0.169;0.9;0.02;250;0;0.43;0.04;29;28;4027;0;3;8;7
art_313;0.02;0.09;35.6;0;0;0.02;0.01;0.02;18.42;0.01;57;0.02;0.01;2;3;20;0.082;0.4;0.05;130;0;0.446;0.05;29;28;10881;0;7;9;3
art_314;0.03;0.21;37.2;1;0;0.01;0;0.01;25.26;0.02;31;0.01;0.02;3;0;8;0.184;0.78;0.26;135;0;0.42;0.03;20;28;4656;0;1;2;9
art_315;0.01;0.1;34.2;0;0;0.01;0.01;0.01;28.3;0.02;44;0.01;0.11;3;4;8;0.107;0.59;0.04;170;0.01;0.471;0.04;26;28;4587;1;5;9;9
art_316;0.01;0.27;37;1;0;0;0;0.02;17;0.01;93;0.01;0.04;3;4;18;0.071;0.47;0.18;182;0;0.35;0.03;26;28;10366;1;5;5;2
art_317;0;0.14;32.5;0;0;0.01;0.01;0.01;38.49;0.01;49;0.01;0.01;3;0;16;0.102;0.43;0.13;387;0;0.484;0.07;20;28;9161;0;2;6;5
art_318;0.01;0.14;27.8;0;0.01;0.01;0.01;0.02;34.8;0.02;29;0.01;0.01;3;2;7;0.138;0.94;0.05;48;0;0.426;0.04;29;28;4025;0;5;6;6
art_319;0.01;0.07;29;0;0;0;0.01;0.01;33.58;0.02;62;0.01;0.01;4;2;8;0.096;0.65;0.03;1789;0;0.434;0.04;29;28;4053;0;5;8;8
art_320;0.01;0.2;34.4;1;0;0;0;0.01;28.1;0.03;91;0.01;0.04;3;4;17;0.161;0.75;0.06;193;0.03;0.481;0.04;20;28;9465;0;1;2;2
art_321;0.01;0.03;35.4;0;0;0.01;0.01;0.01;35.54;0.02;51;0.03;0.02;3;2;16;0.06;0.61;0.06;399;0;0.499;0.04;20;28;9842;0;1;1;1
art_322;0.01;0.05;27.2;0;0;0.02;0.01;0.01;35.41;0.02;24;0.01;0.01;2;2;6;0.074;0.84;0.06;80;0;0.448;0.03;20;28;3950;0;1;1;10
art_326;0.01;0.06;42.4;0;0;0.01;0.01;0.01;19.98;0.01;32;0.01;0.02;3;2;9;0.074;0.76;0.01;193;0;0.397;0.04;17;29;4917;0;6;11;4
art_327;0.01;0.1;28.9;1;0;0;0;0.02;25.22;0.01;25;0.01;0.03;2;2;9;0.056;0.8;0.07;64;0.01;0.379;0.04;11;29;4747;0;1;1;4
art_328;0.01;0.17;34.2;0;0;0.01;0.01;0.01;28.3;0.01;25;0.01;0;3;2;8;0.145;0.53;0.12;171;0;0.425;0.03;11;29;4074;0;1;2;8
art_329;0.02;0.44;30.3;0;0;0.01;0.01;0.01;32.26;0.02;65;0.01;0.02;2;0;19;0.146;0.45;0.27;243;0;0.429;0.04;14;29;12437;0;1;2;1
art_330;0.01;0.05;39.8;1;0;0.02;0.01;0.02;14.16;0.02;82;0.01;0.01;3;4;20;0.095;0.54;0.09;84;0;0.43;0.03;17;29;8907;0;4;5;3
art_331;0.01;0.06;46.2;1;0.01;0.01;0.01;0.01;16.12;0.02;62;0.01;0.02;2;3;16;0.105;0.39;0.06;143;0;0.443;0.03;14;29;9786;0;1;4;3
art_334;0.01;0.06;30.7;1;0;0;0;0.01;40.31;0.01;29;0.01;0.03;3;2;8;0.053;0.42;0.03;163;0.01;0.386;0.03;17;29;4391;0;1;1;5
art_335;0.01;0.08;34;0;0.01;0.01;0.01;0.02;20.05;0.02;41;0;0.04;4;0;9;0.085;0.49;0.05;151;0;0.516;0.04;8;29;4250;0;0;0;5
art_337;0.01;0.04;30.1;0;0;0.01;0.01;0.02;40.92;0.01;45;0.01;0.05;2;3;18;0.174;0.51;0.06;598;0;0.478;0.06;11;29;9690;0;0;0;3
art_338;0.01;0.09;33.9;0;0.01;0;0;0.01;20.15;0.01;102;0.01;0.01;5;4;20;0.104;0.94;0.09;1040;0;0.437;0.03;11;29;13478;0;0;0;1
art_339;0.01;0.06;32.2;0;0;0;0;0.02;30.33;0.01;30;0.01;0.01;4;2;8;0.078;0.78;0.07;4064;0;0.421;0.03;14;29;4861;0;2;5;5
art_340;0.03;0.08;31.2;1;0;0.01;0.01;0.01;31.35;0.03;93;0.01;0.02;2;2;18;0.12;0.47;0.04;320;0;0.485;0.04;8;29;10935;0;0;0;4
art_341;0.01;0.07;37.2;1;0;0.01;0.01;0.02;25.26;0.01;93;0.01;0.02;4;4;16;0.069;0.45;0.05;100;0;0.398;0.05;11;29;9408;0;1;2;2
art_342;0.01;0.12;30.1;1;0;0.02;0.01;0.02;32.46;0.02;41;0.01;0.04;2;2;10;0.147;0.5;0.06;2069;0.01;0.511;0.04;11;29;5233;0;0;1;7
art_344;0.01;0.27;27.5;0;0;0;0;0.01;35.1;0.02;41;0.01;0.01;3;2;9;0.158;0.62;0.27;206;0.01;0.474;0.04;17;29;5229;0;3;4;6
art_345;0.01;0.07;32.8;0;0;0.01;0.01;0.02;29.72;0.02;49;0.02;0.02;2;2;8;-0.022;0.45;0.04;393;0;0.502;0.05;11;29;4631;0;0;1;6
art_346;0;0.05;42.6;0;0;0.02;0.01;0.02;19.78;0.01;29;0.01;0.02;6;4;13;0.043;0.79;0.03;32;0.02;0.426;0.04;14;29;5791;0;3;4;6
art_347;0.01;0.07;34.1;1;0;0.01;0.01;0.02;19.94;0.02;51;0;0.05;3;4;18;0.084;0.82;0.04;79;0;0.395;0.07;14;29;11186;0;1;3;2
art_348;0.01;0.06;40.8;0;0;0;0;0.01;21.6;0.03;36;0.02;0.03;2;4;18;0.072;0.41;0.05;176;0;0.427;0.05;17;29;11290;0;2;4;1
art_349;0.02;0.35;38;1;0.01;0.01;0;0.01;24.45;0.02;28;0.01;0.01;4;3;7;0.105;0.59;0.23;149;0;0.464;0.04;11;29;4178;0;1;1;5
art_350;0.01;0.08;29.7;1;0.01;0;0;0.01;32.87;0.02;58;0.01;0.01;1;2;16;0.153;0.44;0.07;123;0;0.467;0.05;17;29;8836;0;4;3;2
art_352;0.01;0.21;36.5;1;0;0.01;0.01;0.01;17.51;0.02;65;0.01;0.01;2;4;19;0.178;0.81;0.04;56;0;0.491;0.05;5;30;11572;0;1;1;3
art_353;0.01;0.07;34.6;1;0;0;0;0;19.44;0.02;83;0;0.01;2;2;20;0.066;0.65;0.05;116;0;0.442;0.03;5;30;12665;0;0;1;1
art_354;0.01;0.07;34.9;0;0;0.01;0.01;0.01;19.13;0.02;53;0.01;0.04;3;3;14;0.08;0.56;0.09;364;0;0.431;0.03;5;30;5439;0;1;1;7
art_355;0;0.05;35.9;1;0;0;0;0.02;18.12;0.01;82;0;0.02;2;2;15;0.132;0.43;0.05;98;0;0.394;0.05;5;30;9040;0;0;0;2
art_356;0.01;0.09;32.8;0;0;0;0;0.01;29.72;0.02;65;0.01;0.13;3;2;16;0.032;0.62;0.03;80;0;0.327;0.04;5;30;9380;0;0;0;4
art_357;0.01;0.09;30.3;0;0;0.01;0;0.01;23.8;0.01;107;0.01;0.04;2;2;18;0.049;0.45;0.03;208;0;0.513;0.05;5;30;11020;0;0;0;5
art_358;0.01;0.05;56.1;0;0;0.01;0;0.01;6.07;0.01;106;0;0.01;3;4;28;0.108;0.35;0.04;211;0.01;0.427;0.03;5;30;9307;0;1;1;6
